Article ID,GOLD: T: negativ,GOLD: T: ambivalent,GOLD: T: positiv,"GOLD: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",PRED: T: negativ,PRED: T: ambivalent,PRED: T: positiv,"PRED: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",AVG DIFF: T: negativ,AVG DIFF: T: ambivalent,AVG DIFF: T: positiv,"AVG DIFF: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",Average difference per article
Average,0.1761,0.3239,0.4148,0.0739,0.3828,0.0188,0.3458,0.2413,0.379,0.3318,0.3832,0.2847,0.3447
WZ_20170610031246099190029,1,0,0,0,0.0006,0.0261,0.9082,0.0651,0.9994,0.0261,0.9082,0.0651,0.4997
KRONE_20170929508340752,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
WZ_20181003031108870400088,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
WZ_20121227031131015130021,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
KRONE_20160911104750263,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
KLEINE_20171125041005034520361,0,0,1,0,0.0001,0.0042,0.9955,0.0003,0.0001,0.0042,0.0045,0.0003,0.0023
SN_20140402005000266560093,0,0,1,0,0.0,0.0003,0.0,0.9997,0.0,0.0003,1.0,0.9997,0.5
KURIER_201511041920580028,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
PRESSE_200812191915420113,1,0,0,0,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001
EMEDIA_20170224FEC67206A4,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
KURIER_201001031728370081,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRESSE_201708261915150104,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
OOEN_20170117040003077910020,0,1,0,0,0.0,0.0065,0.9923,0.0012,0.0,0.9935,0.9923,0.0012,0.4968
PROFIL_201204161209330087,0,0,1,0,0.2525,0.0485,0.0165,0.6825,0.2525,0.0485,0.9835,0.6825,0.4918
STANDARD_20160105194002051940116,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
OOEN_20180414014503176230089,1,0,0,0,0.0,0.0041,0.9942,0.0016,1.0,0.0041,0.9942,0.0016,0.5
KURIER_201707061920410065,0,1,0,0,0.9969,0.0015,0.0002,0.0014,0.9969,0.9985,0.0002,0.0014,0.4993
SN_20130619232208096190108,0,0,1,0,0.0013,0.0412,0.0088,0.9486,0.0013,0.0412,0.9912,0.9486,0.4956
KURIER_200804101725380136,0,0,1,0,0.0001,0.0003,0.0,0.9996,0.0001,0.0003,1.0,0.9996,0.5
KURIER_201709210401550411,1,0,0,0,0.0894,0.0673,0.0042,0.8392,0.9106,0.0673,0.0042,0.8392,0.4553
PRESSE_201603251915080063,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
TREND_201503230956040007,0,1,0,0,0.955,0.0261,0.0024,0.0165,0.955,0.9739,0.0024,0.0165,0.4869
TT_201602032192BBDFF8,0,0,1,0,0.8109,0.0877,0.0632,0.0382,0.8109,0.0877,0.9368,0.0382,0.4684
