Article ID,GOLD: V: Zuweisende Partei,GOLD: V: Verantwortungssubjekt,GOLD: V: Modi Verantwortungszuweisung,GOLD: V: Zeitliche Dimension,GOLD: V: ZP_Politik,GOLD: V: ZP_Wirtschaft,GOLD: V: ZP_Wissenschaft/Bildung,GOLD: V: ZP_Gesellschaft/Öffentlichkeit,GOLD: V: ZP_Individuum/en,GOLD: V: ZP_Medien/Presse,GOLD: V: ZP_Kultur,GOLD: V: VS_Politik,GOLD: V: VS_Wirtschaft,GOLD: V: VS_Rechtsorgane,GOLD: V: VS_Wissenschaft/Bildung,GOLD: V: VS_Gesellschaft/Öffentlichkeit,GOLD: V: VS_Individuum/en,GOLD: V: VS_Medien/Presse,GOLD: V: MVZ_Fremdzuschreibung,GOLD: V: MVZ_Selbstzuschreibung,GOLD: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung,GOLD: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung,GOLD: V: ZD_Prospektive Verantwortung,GOLD: V: ZD_Retrospektive Verantwortung,PRED: V: Zuweisende Partei,PRED: V: Verantwortungssubjekt,PRED: V: Modi Verantwortungszuweisung,PRED: V: Zeitliche Dimension,PRED: V: ZP_Politik,PRED: V: ZP_Wirtschaft,PRED: V: ZP_Wissenschaft/Bildung,PRED: V: ZP_Gesellschaft/Öffentlichkeit,PRED: V: ZP_Individuum/en,PRED: V: ZP_Medien/Presse,PRED: V: ZP_Kultur,PRED: V: VS_Politik,PRED: V: VS_Wirtschaft,PRED: V: VS_Rechtsorgane,PRED: V: VS_Wissenschaft/Bildung,PRED: V: VS_Gesellschaft/Öffentlichkeit,PRED: V: VS_Individuum/en,PRED: V: VS_Medien/Presse,PRED: V: MVZ_Fremdzuschreibung,PRED: V: MVZ_Selbstzuschreibung,PRED: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung,PRED: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung,PRED: V: ZD_Prospektive Verantwortung,PRED: V: ZD_Retrospektive Verantwortung,AVG DIFF: V: Zuweisende Partei,AVG DIFF: V: Verantwortungssubjekt,AVG DIFF: V: Modi Verantwortungszuweisung,AVG DIFF: V: Zeitliche Dimension,AVG DIFF: V: ZP_Politik,AVG DIFF: V: ZP_Wirtschaft,AVG DIFF: V: ZP_Wissenschaft/Bildung,AVG DIFF: V: ZP_Gesellschaft/Öffentlichkeit,AVG DIFF: V: ZP_Individuum/en,AVG DIFF: V: ZP_Medien/Presse,AVG DIFF: V: ZP_Kultur,AVG DIFF: V: VS_Politik,AVG DIFF: V: VS_Wirtschaft,AVG DIFF: V: VS_Rechtsorgane,AVG DIFF: V: VS_Wissenschaft/Bildung,AVG DIFF: V: VS_Gesellschaft/Öffentlichkeit,AVG DIFF: V: VS_Individuum/en,AVG DIFF: V: VS_Medien/Presse,AVG DIFF: V: MVZ_Fremdzuschreibung,AVG DIFF: V: MVZ_Selbstzuschreibung,AVG DIFF: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung,AVG DIFF: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung,AVG DIFF: V: ZD_Prospektive Verantwortung,AVG DIFF: V: ZD_Retrospektive Verantwortung,Average difference per article
Average,0.4926,0.4485,0.4926,0.4926,0.0294,0.0551,0.2831,0.0625,0.0074,0.1434,0.0662,0.0809,0.1691,0.0074,0.1471,0.2353,0.0404,0.0037,0.4007,0.2537,0.011,0.0074,0.4559,0.136,0.5163,0.472,0.5028,0.4546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.0,0.0,0.0,0.0,0.0,0.3381,0.0,0.0,0.0,0.3711,0.0,0.4433,0.4191,0.4428,0.4369,0.0294,0.0552,0.2831,0.0625,0.0074,0.1434,0.0662,0.0809,0.3571,0.0074,0.1471,0.2353,0.0404,0.0037,0.4026,0.2537,0.011,0.0074,0.4157,0.136,0.187
WZ_20170610031246099190029,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.9984,0.9954,0.9975,0.9931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366,0.0,0.0,0.0,0.0,0.0,0.9471,0.0,0.0,0.0,0.9568,0.0,0.0016,0.0046,0.0025,0.0069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0529,0.0,0.0,0.0,0.0432,0.0,0.049
SN_200604082314150216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOEN_20180523015522145170020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368,0.0125,0.0319,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0036,0.0,0.0368,0.0125,0.0319,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0036,0.0,0.005
KRONE_20170929508340752,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0.9999,0.9997,0.9998,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.0,0.0,0.0,0.0,0.0,0.9959,0.0,0.0,0.0,0.9968,0.0,0.0001,0.0003,0.0002,0.0005,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9979,0.0,1.0,1.0,0.0,0.0,0.0041,1.0,0.0,0.0,0.0032,0.0,0.2919
WZ_20181003031108870400088,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.9998,0.0,0.0,0.0,0.0,0.0,0.9997,0.0002,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,0.0,0.0,0.0,0.0,0.0001,0.9998,0.0,1.0,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0001,1.0,0.1667
WZ_20121227031131015130021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9942,0.9853,0.9932,0.9796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907,0.0,0.0,0.0,0.0,0.0,0.5168,0.0,0.0,0.0,0.6195,0.0,0.9942,0.9853,0.9932,0.9796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907,0.0,0.0,0.0,0.0,0.0,0.5168,0.0,0.0,0.0,0.6195,0.0,0.245
KRONE_20160911104750263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975,0.9934,0.9963,0.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189,0.0,0.0,0.0,0.0,0.0,0.7984,0.0,0.0,0.0,0.8845,0.0,0.9975,0.9934,0.9963,0.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189,0.0,0.0,0.0,0.0,0.0,0.7984,0.0,0.0,0.0,0.8845,0.0,0.2658
KRONE_20181007810780644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.9997,0.9998,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518,0.0,0.0,0.0,0.0,0.0,0.9948,0.0,0.0,0.0,0.9989,0.0,0.9999,0.9997,0.9998,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518,0.0,0.0,0.0,0.0,0.0,0.9948,0.0,0.0,0.0,0.9989,0.0,0.2893
KLEINE_20171125041005034520361,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.9998,0.9996,0.9998,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.9941,0.0001,0.0,0.0,0.9948,0.0,0.0002,0.0004,0.0002,0.0005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0,1.0,0.0,0.0,0.0059,0.0001,0.0,0.0,0.0052,0.0,0.1254
