Article ID;GOLD: V: Zuweisende Partei;GOLD: V: Verantwortungssubjekt;GOLD: V: Modi Verantwortungszuweisung;GOLD: V: Zeitliche Dimension;GOLD: V: ZP_Politik;GOLD: V: ZP_Wirtschaft;GOLD: V: ZP_Wissenschaft/Bildung;GOLD: V: ZP_Gesellschaft/Öffentlichkeit;GOLD: V: ZP_Individuum/en;GOLD: V: ZP_Medien/Presse;GOLD: V: ZP_Kultur;GOLD: V: VS_Politik;GOLD: V: VS_Wirtschaft;GOLD: V: VS_Rechtsorgane;GOLD: V: VS_Wissenschaft/Bildung;GOLD: V: VS_Gesellschaft/Öffentlichkeit;GOLD: V: VS_Individuum/en;GOLD: V: VS_Medien/Presse;GOLD: V: MVZ_Fremdzuschreibung;GOLD: V: MVZ_Selbstzuschreibung;GOLD: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung;GOLD: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung;GOLD: V: ZD_Prospektive Verantwortung;GOLD: V: ZD_Retrospektive Verantwortung;PRED: V: Zuweisende Partei;PRED: V: Verantwortungssubjekt;PRED: V: Modi Verantwortungszuweisung;PRED: V: Zeitliche Dimension;PRED: V: ZP_Politik;PRED: V: ZP_Wirtschaft;PRED: V: ZP_Wissenschaft/Bildung;PRED: V: ZP_Gesellschaft/Öffentlichkeit;PRED: V: ZP_Individuum/en;PRED: V: ZP_Medien/Presse;PRED: V: ZP_Kultur;PRED: V: VS_Politik;PRED: V: VS_Wirtschaft;PRED: V: VS_Rechtsorgane;PRED: V: VS_Wissenschaft/Bildung;PRED: V: VS_Gesellschaft/Öffentlichkeit;PRED: V: VS_Individuum/en;PRED: V: VS_Medien/Presse;PRED: V: MVZ_Fremdzuschreibung;PRED: V: MVZ_Selbstzuschreibung;PRED: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung;PRED: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung;PRED: V: ZD_Prospektive Verantwortung;PRED: V: ZD_Retrospektive Verantwortung;AVG DIFF: V: Zuweisende Partei;AVG DIFF: V: Verantwortungssubjekt;AVG DIFF: V: Modi Verantwortungszuweisung;AVG DIFF: V: Zeitliche Dimension;AVG DIFF: V: ZP_Politik;AVG DIFF: V: ZP_Wirtschaft;AVG DIFF: V: ZP_Wissenschaft/Bildung;AVG DIFF: V: ZP_Gesellschaft/Öffentlichkeit;AVG DIFF: V: ZP_Individuum/en;AVG DIFF: V: ZP_Medien/Presse;AVG DIFF: V: ZP_Kultur;AVG DIFF: V: VS_Politik;AVG DIFF: V: VS_Wirtschaft;AVG DIFF: V: VS_Rechtsorgane;AVG DIFF: V: VS_Wissenschaft/Bildung;AVG DIFF: V: VS_Gesellschaft/Öffentlichkeit;AVG DIFF: V: VS_Individuum/en;AVG DIFF: V: VS_Medien/Presse;AVG DIFF: V: MVZ_Fremdzuschreibung;AVG DIFF: V: MVZ_Selbstzuschreibung;AVG DIFF: V: MVZ_Leugnung/Ablehnung_Fremdzuschreibung;AVG DIFF: V: MVZ_Leugnung/Ablehnung_Selbstzuschreibung;AVG DIFF: V: ZD_Prospektive Verantwortung;AVG DIFF: V: ZD_Retrospektive Verantwortung;Average difference per article
Average;0.7206;0.7206;0.7169;0.7206;0.0772;0.1949;0.1912;0.1728;0.011;0.4301;0.0037;0.2096;0.6103;0.0147;0.0662;0.1618;0.0846;0.0809;0.6581;0.3088;0.0846;0.0404;0.7096;0.25;0.7957;0.76;0.7859;0.7469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6644;0.0;0.0;0.0;0.0;0.0;0.6407;0.0;0.0;0.0;0.6427;0.0;0.2752;0.2825;0.2791;0.2865;0.0772;0.1949;0.1912;0.1728;0.011;0.4301;0.0037;0.2096;0.3609;0.0147;0.0662;0.1618;0.0846;0.0809;0.3472;0.3088;0.0846;0.0404;0.3235;0.25;0.1891
OOEN_20171019040003108430459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9551;0.893;0.9374;0.8629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5464;0.0;0.0;0.0;0.0;0.0;0.6505;0.0;0.0;0.0;0.4644;0.0;0.9551;0.893;0.9374;0.8629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5464;0.0;0.0;0.0;0.0;0.0;0.6505;0.0;0.0;0.0;0.4644;0.0;0.2212
PRESSE_201801291915100054;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0.9965;0.9924;0.9963;0.9906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8996;0.0;0.0;0.0;0.0;0.0;0.92;0.0;0.0;0.0;0.8739;0.0;0.0035;0.0076;0.0037;0.0094;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.1004;0.0;0.0;0.0;0.0;0.0;0.08;1.0;0.0;0.0;0.1261;0.0;0.1804
STANDARD_20170523194005160300053;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0.9998;0.9995;0.9998;0.9993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9964;0.0;0.0;0.0;0.0;0.0;0.9921;0.0001;0.0;0.0;0.9911;0.0;0.0002;0.0005;0.0002;0.0007;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036;0.0;0.0;0.0;0.0;0.0;0.0079;0.0001;0.0;0.0;0.0089;1.0;0.0843
WZ_20140927031310082540015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9994;0.9984;0.9992;0.9973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9557;0.0;0.0;0.0;0.0;0.0;0.9101;0.0;0.0;0.0;0.9326;0.0;0.9994;0.9984;0.9992;0.9973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9557;0.0;0.0;0.0;0.0;0.0;0.9101;0.0;0.0;0.0;0.9326;0.0;0.283
OOEN_20180623014504177420057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9956;0.9855;0.991;0.9721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8742;0.0;0.0;0.0;0.0;0.0;0.722;0.0;0.0;0.0;0.9558;0.0;0.9956;0.9855;0.991;0.9721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8742;0.0;0.0;0.0;0.0;0.0;0.722;0.0;0.0;0.0;0.9558;0.0;0.2707
KURIER_201611011921000073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0029;0.0014;0.0025;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0002;0.0;0.0;0.0;0.0004;0.0;0.0029;0.0014;0.0025;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0002;0.0;0.0;0.0;0.0004;0.0;0.0004
HOR_201709298002CF28C0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.3333
WZ_20170816031306156110056;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1.0;0.9999;1.0;0.9999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9986;0.0;0.0;0.0;0.0;0.0;0.9986;0.0001;0.0;0.0;0.9993;0.0;0.0;0.0001;0.0;0.0001;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0014;0.0;0.0;0.0;0.0;0.0;0.0014;0.9999;0.0;0.0;0.0007;0.0;0.0835
KURIER_201712061920340136;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0.9767;0.9396;0.9741;0.9306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9142;0.0;0.0;0.0;0.0;0.0;0.699;0.0;0.0;0.0;0.7105;0.0;0.0233;0.0604;0.0259;0.0694;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0858;0.0;0.0;0.0;0.0;0.0;0.699;1.0;0.0;0.0;0.2895;0.0;0.1356
