Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;Average difference per article
Average;0.5515;0.0404;0.0551;0.011;0.1875;0.011;0.011;0.2206;0.0515;0.1875;0.0478;0.1728;0.0846;0.0037;0.0074;0.0331;0.0037;0.1066;0.787;0.0336;0.054;0.0025;0.0539;0.0014;0.0006;0.0848;0.0154;0.4834;0.0091;0.1492;0.0729;0.0031;0.0312;0.0543;0.0339;0.3736;0.4023;0.068;0.0926;0.0135;0.2077;0.0124;0.0116;0.2358;0.0659;0.4219;0.0567;0.2413;0.1395;0.0067;0.0385;0.0769;0.0375;0.342;0.1373
WZ_20170610031246099190029;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0.9947;0.001;0.0443;0.0001;0.0022;0.0001;0.0011;0.0061;0.0026;0.8955;0.0019;0.1916;0.0342;0.0003;0.0114;0.0482;0.4269;0.3878;0.0053;0.001;0.0443;0.0001;0.0022;0.0001;0.0011;0.9939;0.0026;0.1045;0.0019;0.1916;0.0342;0.0003;0.9886;0.0482;0.4269;0.3878;0.1797
SN_200604082314150216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9753;0.0027;0.0001;0.0;0.0194;0.0001;0.0;0.0065;0.0004;0.4005;0.0002;0.0535;0.0008;0.0008;0.0011;0.0065;0.0009;0.2513;0.9753;0.0027;0.0001;0.0;0.0194;0.0001;0.0;0.0065;0.0004;0.4005;0.0002;0.0535;0.0008;0.0008;0.0011;0.0065;0.0009;0.2513;0.0956
NOEN_20180523015522145170020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4607;0.0001;0.0003;0.0002;0.0006;0.0001;0.0;0.0017;0.0001;0.0;0.0004;0.1936;0.0014;0.0;0.0001;0.0054;0.0015;0.7359;0.4607;0.0001;0.0003;0.0002;0.0006;0.0001;0.0;0.0017;0.0001;0.0;0.0004;0.1936;0.0014;0.0;0.0001;0.0054;0.0015;0.7359;0.0779
KRONE_20170929508340752;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0.9916;0.0001;0.0022;0.0;0.0074;0.0;0.0001;0.0124;0.0007;0.5647;0.0004;0.0011;0.1443;0.0;0.0002;0.0006;0.0892;0.976;0.0084;0.0001;0.0022;0.0;0.9926;0.0;0.0001;0.0124;0.0007;0.5647;0.0004;0.0011;0.8557;0.0;0.0002;0.0006;0.0892;0.976;0.1947
WZ_20181003031108870400088;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0.9981;0.0541;0.005;0.0;0.0175;0.0002;0.004;0.0467;0.0002;0.0314;0.0002;0.0226;0.0005;0.0603;0.0004;0.9962;0.0028;0.9589;0.0019;0.0541;0.005;0.0;0.0175;0.0002;0.004;0.0467;0.0002;0.0314;0.0002;0.9774;0.0005;0.0603;0.0004;0.0038;0.0028;0.0411;0.0693
WZ_20121227031131015130021;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0.9987;0.0041;0.0008;0.0;0.0026;0.0;0.0;0.0045;0.0002;0.8905;0.0007;0.3437;0.0005;0.0015;0.0038;0.386;0.0007;0.7472;0.0013;0.0041;0.0008;0.0;0.9974;0.0;0.0;0.0045;0.0002;0.1095;0.0007;0.6563;0.0005;0.0015;0.0038;0.386;0.0007;0.7472;0.1619
KRONE_20160911104750263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4779;0.0026;0.0059;0.0001;0.0019;0.0033;0.0001;0.0011;0.0005;0.4959;0.0002;0.0148;0.0565;0.0151;0.0001;0.0011;0.0031;0.0008;0.4779;0.0026;0.0059;0.0001;0.0019;0.0033;0.0001;0.0011;0.0005;0.4959;0.0002;0.0148;0.0565;0.0151;0.0001;0.0011;0.0031;0.0008;0.0601
KRONE_20181007810780644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.001;0.0554;0.0112;0.2689;0.0017;0.0008;0.0461;0.066;0.8701;0.0019;0.0305;0.3054;0.0003;0.2777;0.0208;0.0005;0.4048;0.9999;0.001;0.0554;0.0112;0.2689;0.0017;0.0008;0.0461;0.066;0.8701;0.0019;0.0305;0.3054;0.0003;0.2777;0.0208;0.0005;0.4048;0.1868
KLEINE_20171125041005034520361;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0.9998;0.0123;0.014;0.0046;0.2712;0.0001;0.0015;0.6394;0.0605;0.9698;0.0003;0.0296;0.0686;0.0035;0.0247;0.0582;0.6723;0.9808;0.0002;0.0123;0.014;0.0046;0.2712;0.0001;0.0015;0.6394;0.0605;0.0302;0.0003;0.9704;0.0686;0.0035;0.0247;0.0582;0.6723;0.9808;0.2118
