Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;GOLD: R: RT: Marktmacht, Monopolisierung;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: RT: Marktmacht, Monopolisierung;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: RT: Marktmacht, Monopolisierung;Average difference per article
Average;0.7426;0.25;0.0331;0.4485;0.0809;0.1838;0.0551;0.0221;0.1213;0.1176;0.1507;0.0846;0.011;0.0074;0.0074;0.0074;0.0294;0.0221;0.0294;0.114;0.7405;0.0904;0.0359;0.1368;0.0803;0.0216;0.0075;0.037;0.04;0.3212;0.0538;0.125;0.0078;0.0084;0.0299;0.0227;0.0612;0.059;0.1469;0.0475;0.336;0.2537;0.0672;0.3744;0.1266;0.1805;0.0624;0.0572;0.1478;0.3577;0.1822;0.1693;0.0188;0.0158;0.0372;0.0288;0.0776;0.0794;0.1642;0.1429;0.144
OOEN_20171019040003108430459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9565;0.0303;0.4452;0.0002;0.0201;0.0001;0.0015;0.0081;0.0032;0.5503;0.0042;0.5703;0.0325;0.0037;0.1321;0.0068;0.0374;0.0025;0.624;0.004;0.9565;0.0303;0.4452;0.0002;0.0201;0.0001;0.0015;0.0081;0.0032;0.5503;0.0042;0.5703;0.0325;0.0037;0.1321;0.0068;0.0374;0.0025;0.624;0.004;0.1717
PRESSE_201801291915100054;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9175;0.3102;0.0576;0.0006;0.003;0.0003;0.0;0.0372;0.0006;0.5896;0.0001;0.0406;0.0001;0.0045;0.0002;0.3702;0.0026;0.0015;0.0039;0.0018;0.0825;0.6898;0.0576;0.0006;0.003;0.0003;0.0;0.0372;0.0006;0.5896;0.0001;0.0406;0.0001;0.0045;0.0002;0.3702;0.0026;0.0015;0.0039;0.0018;0.0943
STANDARD_20170523194005160300053;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9983;0.0105;0.1217;0.0068;0.7218;0.0323;0.1912;0.0365;0.0099;0.0106;0.0326;0.0288;0.0339;0.0037;0.0951;0.0023;0.0122;0.2421;0.6753;0.451;0.0017;0.0105;0.1217;0.9932;0.7218;0.9677;0.1912;0.0365;0.0099;0.0106;0.0326;0.0288;0.0339;0.0037;0.0951;0.0023;0.0122;0.2421;0.6753;0.549;0.237
WZ_20140927031310082540015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0919;0.0009;0.0003;0.0;0.0069;0.0;0.0004;0.0009;0.0001;0.0014;0.0012;0.0096;0.0002;0.0001;0.0004;0.0;0.0592;0.0017;0.1097;0.0023;0.0919;0.0009;0.0003;0.0;0.0069;0.0;0.0004;0.0009;0.0001;0.0014;0.0012;0.0096;0.0002;0.0001;0.0004;0.0;0.0592;0.0017;0.1097;0.0023;0.0144
OOEN_20180623014504177420057;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.997;0.0001;0.0001;0.0256;0.004;0.0001;0.0;0.0026;0.0011;0.7856;0.0004;0.0209;0.0004;0.0;0.0008;0.0001;0.0061;0.0035;0.002;0.0001;0.003;0.0001;0.0001;0.9744;0.004;0.0001;0.0;0.0026;0.0011;0.7856;0.0004;0.0209;0.0004;0.0;0.0008;0.0001;0.0061;0.0035;0.002;0.0001;0.0903
KURIER_201611011921000073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1324;0.0036;0.0011;0.0111;0.0006;0.0;0.0;0.0025;0.0013;0.0168;0.0001;0.0003;0.0006;0.0005;0.0015;0.0033;0.0015;0.0065;0.019;0.0039;0.1324;0.0036;0.0011;0.0111;0.0006;0.0;0.0;0.0025;0.0013;0.0168;0.0001;0.0003;0.0006;0.0005;0.0015;0.0033;0.0015;0.0065;0.019;0.0039;0.0103
HOR_201709298002CF28C0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9271;0.0945;0.018;0.1801;0.0009;0.0;0.0;0.0013;0.001;0.5393;0.0022;0.3116;0.0028;0.0005;0.0001;0.0032;0.001;0.0004;0.0;0.0002;0.0729;0.0945;0.018;0.8199;0.0009;0.0;0.0;0.0013;0.001;0.5393;0.0022;0.3116;0.0028;0.0005;0.0001;0.0032;0.001;0.0004;0.0;0.0002;0.0935
WZ_20170816031306156110056;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9975;0.2381;0.3154;0.1924;0.0101;0.0144;0.0796;0.1382;0.1836;0.1299;0.1039;0.5635;0.0012;0.0054;0.038;0.0015;0.1709;0.5474;0.169;0.0308;0.0025;0.2381;0.3154;0.8076;0.0101;0.0144;0.0796;0.1382;0.1836;0.1299;0.1039;0.5635;0.0012;0.0054;0.038;0.0015;0.1709;0.5474;0.169;0.9692;0.2245
KURIER_201712061920340136;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0.0144;0.0004;0.0002;0.0004;0.0005;0.0001;0.0;0.019;0.0002;0.0023;0.0;0.0029;0.0;0.0008;0.0052;0.0026;0.0123;0.0005;0.0152;0.0002;0.9856;0.0004;0.0002;0.9996;0.0005;0.0001;0.0;0.019;0.9998;0.0023;0.0;0.9971;1.0;0.0008;0.0052;0.0026;0.0123;0.0005;0.0152;0.0002;0.2521
