Article ID,GOLD: AF: Social Companions,PRED: AF: Social Companions,AVG DIFF: AF: Social Companions,Average difference per article
Average,0.6544,0.9527,0.3245,0.3245
WZ_20170610031246099190029,1,0.9998,0.0002,0.0002
SN_200604082314150216,0,0.9978,0.9978,0.9978
NOEN_20180523015522145170020,0,0.9968,0.9968,0.9968
KRONE_20170929508340752,1,0.9879,0.0121,0.0121
WZ_20181003031108870400088,1,0.9995,0.0005,0.0005
WZ_20121227031131015130021,1,0.9798,0.0202,0.0202
KRONE_20160911104750263,1,0.9998,0.0002,0.0002
KRONE_20181007810780644,0,0.9904,0.9904,0.9904
KLEINE_20171125041005034520361,1,0.8575,0.1425,0.1425
VN_20150509231014309580135,0,0.9984,0.9984,0.9984
SN_20140402005000266560093,1,0.9968,0.0032,0.0032
KURIER_201511041920580028,1,0.9939,0.0061,0.0061
KLEINE_20170614041003015480051,0,0.9221,0.9221,0.9221
PRESSE_200812191915420113,1,0.9967,0.0033,0.0033
KURIER_200812051719380050,0,0.9989,0.9989,0.9989
STANDARD_20161221194004221610086,0,0.8894,0.8894,0.8894
EMEDIA_20170224FEC67206A4,1,0.9922,0.0078,0.0078
KURIER_201001031728370081,1,0.9998,0.0002,0.0002
STANDARD_20170125194005197690112,0,0.9972,0.9972,0.9972
PRESSE_201708261915150104,1,0.9999,0.0001,0.0001
OOEN_20170117040003077910020,1,0.9202,0.0798,0.0798
PROFIL_201204161209330087,1,0.9781,0.0219,0.0219
STANDARD_20160105194002051940116,1,0.9126,0.0874,0.0874
STANDARD_20160105194002051940104,0,0.964,0.964,0.964
PROFIL_20170410B94762E951,0,0.997,0.997,0.997
OOEN_20180414014503176230089,1,0.9994,0.0006,0.0006
KURIER_201707061920410065,1,0.9992,0.0008,0.0008
KLEINE_20150805041003069370055,0,0.999,0.999,0.999
SN_20130619232208096190108,1,0.9998,0.0002,0.0002
KURIER_201805011920500018,0,0.9698,0.9698,0.9698
NVT_20170825FD0C32D6C8,0,0.9989,0.9989,0.9989
KURIER_200804101725380136,1,0.9965,0.0035,0.0035
KURIER_201709210401550411,1,0.9986,0.0014,0.0014
PRESSE_201603251915080063,1,0.9988,0.0012,0.0012
TREND_201503230956040007,1,0.9983,0.0017,0.0017
TT_201602032192BBDFF8,1,0.9997,0.0003,0.0003
WZ_20180214031308504950066,1,0.9998,0.0002,0.0002
MWVOLL_20180628_9981783,0,0.9987,0.9987,0.9987
KURIER_201806081920310032,0,0.9549,0.9549,0.9549
WZ_20180217031310334780077,1,1.0,0.0,0.0
KURIER_201702171920390031,0,0.999,0.999,0.999
DIEWIR_20170904A65AE63CC9,1,0.9726,0.0274,0.0274
