Article ID,GOLD: AF: Soziale Medien,PRED: AF: Soziale Medien,AVG DIFF: AF: Soziale Medien,Average difference per article
Average,0.8015,0.8319,0.2486,0.2486
OOEN_20171019040003108430459,0,0.9886,0.9886,0.9886
PRESSE_201801291915100054,1,0.9952,0.0048,0.0048
STANDARD_20170523194005160300053,1,0.9997,0.0003,0.0003
WZ_20140927031310082540015,0,0.9821,0.9821,0.9821
OOEN_20180623014504177420057,1,0.9548,0.0452,0.0452
KURIER_201611011921000073,0,0.0925,0.0925,0.0925
HOR_201709298002CF28C0,1,0.9984,0.0016,0.0016
WZ_20170816031306156110056,1,0.9987,0.0013,0.0013
KURIER_201712061920340136,1,0.8902,0.1098,0.1098
WZ_20160520031309097640078,1,0.979,0.021,0.021
SN_20180516013053016430080,1,0.9997,0.0003,0.0003
HOR_201604291219400028,1,0.0692,0.9308,0.9308
SN_20180609013300254480032,0,0.9985,0.9985,0.9985
SN_20180705013104300970047,1,0.0923,0.9077,0.9077
HOR_201806083E1BC69BF7,0,0.9775,0.9775,0.9775
TT_201708119645A5DB57,0,0.9521,0.9521,0.9521
STANDARD_20140205194001180700014,1,0.9992,0.0008,0.0008
HOR_201709222740CBF99B,0,0.995,0.995,0.995
KONSUM_2018122075F5776A7B,1,0.9946,0.0054,0.0054
HOR_20180518B60B469237,1,0.9121,0.0879,0.0879
STANDARD_20161021194006012290100,1,0.9996,0.0004,0.0004
STANDARD_20121217194003077710071,1,0.9663,0.0337,0.0337
STANDARD_20180407194503450510186,1,0.6306,0.3694,0.3694
KLEINE_20180603041006090110503,0,0.1198,0.1198,0.1198
STANDARD_20181020194503555290113,1,0.1778,0.8222,0.8222
HOR_201505291614310008,0,0.9697,0.9697,0.9697
STANDARD_20160416194005259970135,1,0.9345,0.0655,0.0655
TREND_201707288F5D6CABCD,0,0.1954,0.1954,0.1954
MEDIANET_20150626D24AEE7D06,0,0.9923,0.9923,0.9923
KLEINE_20171206041004267390382,1,0.9534,0.0466,0.0466
WZ_20150224031309054110092,1,0.998,0.002,0.002
HOR_201210121525480015,1,0.9616,0.0384,0.0384
WZ_20171230031309606310024,1,0.9968,0.0032,0.0032
ARBEITW_2015091667B9268003,1,0.9955,0.0045,0.0045
PRESSE_201812191915090090,1,0.9973,0.0027,0.0027
WZ_20120204031314062310127,1,0.9946,0.0054,0.0054
STANDARD_20180612194505516790071,0,0.9907,0.9907,0.9907
FALTER_201804043CD17074DB,1,0.9933,0.0067,0.0067
OOEN_20180707014504095450024,1,0.9883,0.0117,0.0117
STANDARD_20141112040502235530058,1,0.9252,0.0748,0.0748
HOR_201802026B29B8014D,1,0.9947,0.0053,0.0053
KURIER_201803130401050042,1,0.9959,0.0041,0.0041
KURIER_201807101920500128,1,0.5197,0.4803,0.4803
KURIER_201806021920310102,0,0.1038,0.1038,0.1038
WZ_20161116031310289520007,1,0.8373,0.1627,0.1627
HOR_201505221355140028,1,0.2609,0.7391,0.7391
STANDARD_200708291921100100,1,0.8767,0.1233,0.1233
PRESSE_201405041915370159,1,0.5101,0.4899,0.4899
FALTER_201607068366BB6A49,1,0.973,0.027,0.027
MWVOLL_20180527_9850944,1,0.2464,0.7536,0.7536
WZ_20170223031110261430020,1,0.3672,0.6328,0.6328
HOR_20180420D5FA94E99C,1,0.9984,0.0016,0.0016
FALTER_201607066AE4DE74BC,1,0.9022,0.0978,0.0978
MWVOLL_20181112_10516521,0,0.6601,0.6601,0.6601
SN_20160921013100182820086,1,0.9663,0.0337,0.0337
PRESSE_201509191915460085,1,0.9988,0.0012,0.0012
SN_20180505013249159810031,1,0.9026,0.0974,0.0974
STANDARD_20171009194501248060058,1,0.9991,0.0009,0.0009
FORMATDB_2018071356A3AACC31,1,0.3911,0.6089,0.6089
SN_20121114232153184730065,1,0.9984,0.0016,0.0016
WZ_20180901_5080836,1,0.4738,0.5262,0.5262
KURIER_201610132035450044,1,0.9727,0.0273,0.0273
STANDARD_20180306194502455760039,1,0.2122,0.7878,0.7878
KURIER_201805031920330140,1,0.9934,0.0066,0.0066
MWVOLL_20161203_7668395,1,0.1866,0.8134,0.8134
TT_20181208BE359ADF61,0,0.8221,0.8221,0.8221
KURIER_201709260401220003,1,0.9959,0.0041,0.0041
KURIER_201611201920430069,1,0.998,0.002,0.002
SN_20150625013134095230069,1,0.5946,0.4054,0.4054
KURIER_201701250401240118,0,0.0473,0.0473,0.0473
KURIER_201611211920390062,0,0.9979,0.9979,0.9979
NEWS_201803302D93C6840A,1,0.9962,0.0038,0.0038
PRESSE_201206011916560077,1,0.9995,0.0005,0.0005
MWVOLL_20151010_5965051,1,0.9726,0.0274,0.0274
HOR_2017092225EA50DB01,1,0.7873,0.2127,0.2127
TT_201804180CD23811B4,1,0.9891,0.0109,0.0109
KURIER_201612211920400031,0,0.8461,0.8461,0.8461
KURIER_201611161920420006,1,0.9933,0.0067,0.0067
KLEINE_20170619041003151010191,1,0.8895,0.1105,0.1105
PRESSE_201811091915090081,0,0.9463,0.9463,0.9463
NVT_20130825348874E2F3,1,0.962,0.038,0.038
WZ_20140327031316211250086,1,0.9458,0.0542,0.0542
EMEDIA_20170825E2EFCA16F6,1,0.96,0.04,0.04
KRONE_20161030176580104,1,0.0628,0.9372,0.9372
HOR_20160415965951E8CD,1,0.9443,0.0557,0.0557
MEDIANET_20160520329B003D38,1,0.3418,0.6582,0.6582
PRESSE_201708250400130056,1,0.4264,0.5736,0.5736
TT_20180429EA1BDEB143,1,0.6534,0.3466,0.3466
STANDARD_20180505194503285970092,0,0.5979,0.5979,0.5979
STANDARD_20160507194005312160081,1,0.8808,0.1192,0.1192
